ID,Age,Gender,FamilyMembers,FinancialEducation,RiskPropensity,Income,Wealth,IncomeInvestment,AccumulationInvestment,stratified_fold
1,60,0,2,0.2286846927260956,0.23335464447012283,68.18152509342502,53.26006651615792,0,1,4
2,78,0,2,0.3589161782934377,0.17091140849455566,21.807595077775346,135.55004812235887,1,0,1
3,33,1,2,0.31751524996766756,0.24970304492254247,23.252747487301672,66.30367828000152,0,1,0
4,69,1,4,0.7676851093771216,0.6545973260074002,166.18903413097556,404.99768919539054,1,1,-1
5,58,0,3,0.42971936752263673,0.3490390875072083,21.18672263444752,58.911929653703446,0,0,2
6,42,1,3,0.4797674931009692,0.5144153426724262,89.90436130563879,78.62297647567769,0,1,3
7,50,0,2,0.48552409411015224,0.37828364489899324,63.92914507989592,53.4007535829132,0,1,2
8,59,1,2,0.37431734321551563,0.21610547033095012,131.4301798697563,100.66327925489347,0,1,3
9,81,0,3,0.1950993223542031,0.17750077453490085,95.15639276810786,131.87795005829446,1,1,4
10,71,0,2,0.5773477362859316,0.45418868174454236,104.69450386767294,199.47282917723106,1,0,4
11,45,0,3,0.4726969826821422,0.5880702607529288,106.77795225312946,84.55148893099039,0,1,4
12,81,1,2,0.2525378292188989,0.3164817574107727,55.50942976858407,87.98506446656698,0,0,-1
13,67,1,2,0.3245489403974933,0.34189212525757806,109.93016297768953,80.26904490896214,0,1,4
14,54,1,2,0.6995839363709593,0.680456109753491,74.49706507354873,367.16917125385237,1,1,3
15,61,1,3,0.41728949946807437,0.33718839425865355,81.01210774827214,159.48745403362653,1,1,0
16,53,1,2,0.4270299831006741,0.2207001733938288,45.23748483304034,48.015950742127785,0,1,2
17,54,0,2,0.36512992973210256,0.45118376551051087,41.496832302245494,40.40027745989638,1,1,0
18,80,1,1,0.11917333410424384,0.09888872622352768,6.80256710752066,4.054744286613343,0,0,3
19,73,1,3,0.2679989827743907,0.43069209228698024,64.08537892785886,100.53835770171307,1,1,1
20,67,1,2,0.28164718610119616,0.31234565987932417,47.94422726809528,67.1813070308358,0,1,4
21,66,1,2,0.41096150713992047,0.45901689763896,60.830527711849705,74.4618664025875,1,1,2
22,40,0,3,0.4740746113313621,0.38590393693637337,48.82697007524979,57.81153257249605,0,1,2
23,63,1,3,0.37696449516965774,0.4075269990380274,50.99646065125056,142.16924847855287,1,0,3
24,81,0,2,0.5950243602504144,0.34058946537200696,156.06326462352845,462.4582775297859,1,1,0
25,60,0,4,0.3777949221135011,0.3948597549982798,115.73833591390179,203.4366588853774,1,0,3
26,65,1,3,0.4296792383311633,0.35459363282574835,103.19013131212897,154.60300724402583,0,0,0
27,63,1,3,0.2889962945484114,0.305997191840195,59.768751440997114,46.12414857607878,1,1,2
28,53,1,3,0.3211411952527725,0.4703622980404852,43.51950539947347,64.90711666650425,0,1,4
29,58,0,2,0.37746044996429945,0.30726696030881817,118.80519840669645,127.94888073889643,1,1,-1
30,47,0,2,0.5571497757659825,0.42553886812810204,50.26387425712772,30.415340384550927,1,1,2
31,65,0,1,0.439403374939476,0.477405448313188,41.20286709657215,88.41523878800646,0,1,1
32,47,0,2,0.465272487967652,0.35014376861770524,33.68946913474867,54.60500662482099,0,0,3
33,37,1,2,0.23433112871353712,0.23616516323440673,15.552373985483063,2.5048693135222533,0,0,2
34,48,1,2,0.342046994747744,0.22972386858537072,40.15848121504385,34.29558687373999,0,1,3
35,29,0,3,0.564868527912279,0.5608678205713536,32.499179297039746,26.315203520063,0,1,4
36,75,1,3,0.47637440599180475,0.4408588256926472,75.63259947343535,240.0268030028748,1,0,2
37,58,1,2,0.24923723192297167,0.26038930250159453,16.267610986935235,56.3648899206085,0,0,0
38,46,1,2,0.21789009562260633,0.2182590454991943,17.297773347140758,20.545165070260296,0,0,0
39,67,1,3,0.5131492776110324,0.47509980580502653,48.42405729755434,114.54150348155841,1,1,-1
