stratified_fold,ID,Age,Gender,FamilyMembers,FinancialEducation,RiskPropensity,Income,Wealth,Wealth_log,Income_log,Wealth_per_person,Income_per_person,Inc_to_Wealth_ratio,Age_bracket_Young,Age_bracket_Mid,Age_bracket_Senior,AccumulationInvestment,IncomeInvestment
4,1,0.5316455696202531,0.0,0.25,0.21221606284708683,0.24282958251688108,0.18319514741564416,0.03725664114571585,0.5015019824767222,0.6647818585060773,0.055700644443444906,0.16978939926342876,0.006922151906223376,0.0,0.0,1.0,1,0
3,4,0.6455696202531646,1.0,0.75,0.8419782615652353,0.7340133993843343,0.452605215977081,0.2882891461973259,0.8099365736349802,0.8422456434467648,0.21359921338715862,0.20746260457294707,0.0021561487797478783,0.0,0.0,1.0,1,1
4,5,0.5063291139240507,0.0,0.5,0.4471027807555574,0.3777217213565981,0.05401246461066204,0.04129033350657195,0.5166875714551497,0.4360637256235157,0.04090367239783602,0.033230478298394955,0.0018782825627759933,0.0,0.0,1.0,0,0
2,6,0.30379746835443033,1.0,0.5,0.5055784639503241,0.5705562649381208,0.24290843725182504,0.055357959890179505,0.5602774217155464,0.7197016777922239,0.05480687783180093,0.1489601595005233,0.006173265358208613,0.0,1.0,0.0,1,0
4,8,0.5189873417721519,1.0,0.25,0.3823716607726236,0.22271643738028013,0.3570575849680712,0.07108795879282227,0.5977273294425003,0.7953714207141621,0.10585449554701903,0.32956817212157496,0.007061762373372688,0.0,0.0,1.0,1,0
1,9,0.7974683544303797,0.0,0.5,0.1729752829946653,0.17770200113913112,0.25734559793763023,0.09336563539293125,0.6387636174484257,0.7309980067365883,0.09237032358822149,0.15780528192569054,0.0038613310700113404,0.0,0.0,1.0,1,1
4,10,0.6708860759493671,0.0,0.25,0.6195901541108545,0.5003298551076106,0.2835646416671866,0.14160759400013395,0.7017893550325787,0.7500190259184331,0.21039760914840064,0.26202849845970216,0.0027835874696647634,0.0,0.0,1.0,0,1
0,11,0.3417721518987342,0.0,0.5,0.4973173568159618,0.6564404959989738,0.28929177398472156,0.05958909479565428,0.5712835328525883,0.7539448716017857,0.05898855967389076,0.17737754023201346,0.006827429086301191,0.0,1.0,0.0,1,0
3,12,0.7974683544303797,1.0,0.25,0.24008580695112103,0.3397587267108011,0.14836118312241403,0.062039611920931395,0.5773141354747164,0.6240906175502918,0.09244060944066101,0.1377771478138971,0.003364615011617575,0.0,0.0,1.0,0,0
4,13,0.620253164556962,1.0,0.25,0.32422280259528263,0.3693881114195187,0.29795679685657567,0.05653274659382027,0.5634133996569303,0.7597426145268795,0.08427685695119838,0.27525482225520953,0.0074117786032630115,0.0,0.0,1.0,1,0
0,14,0.45569620253164556,1.0,0.25,0.7624095949691698,0.7641656528397596,0.20055575657463953,0.2612912164651569,0.7949474851871895,0.6823514164968719,0.3878247683048972,0.1857437184743149,0.0010194645534655079,0.0,1.0,0.0,1,1
1,15,0.5443037974683544,1.0,0.5,0.432579858705785,0.3639033952527287,0.2184647730460757,0.11307033144837886,0.6676958097102896,0.6989984866773711,0.11184471321175875,0.1339844168926219,0.0026909699417828952,0.0,0.0,1.0,1,1
2,16,0.44303797468354433,1.0,0.25,0.4439605333760529,0.22807402313004616,0.12012492432428608,0.033513955022156136,0.48592472737616255,0.583743212486665,0.05015223144557038,0.1118281570808672,0.005069990086522951,0.0,1.0,0.0,1,0
4,18,0.7848101265822786,1.0,0.0,0.08426418774684748,0.08603758147387955,0.014472266469079027,0.0021391714617327176,0.13775732725341489,0.2258882849326216,0.007930140451008257,0.031918502365904516,0.009100283901336718,0.0,0.0,1.0,0,0
