ClientID,Predicted_Need,Prob_Accumulation,Prob_Income,RiskPropensity,Recommended_ProductID
1,Income,0.514,0.844,0.23335464447012283,2
2,Income,0.516,0.855,0.17091140849455566,10
3,Income,0.522,0.863,0.24970304492254247,2
4,Income,0.562,0.866,0.6545973260074002,4
5,Income,0.553,0.854,0.3490390875072083,2
6,Income,0.564,0.870,0.5144153426724262,4
7,Income,0.563,0.860,0.37828364489899324,4
8,Income,0.522,0.850,0.21610547033095012,2
9,Income,0.513,0.824,0.17750077453490085,10
10,Income,0.562,0.872,0.45418868174454236,4
11,Income,0.563,0.853,0.5880702607529288,4
12,Income,0.527,0.865,0.3164817574107727,2
13,Income,0.526,0.869,0.34189212525757806,2
14,Income,0.562,0.855,0.680456109753491,4
15,Income,0.556,0.854,0.33718839425865355,2
16,Income,0.550,0.843,0.2207001733938288,2
17,Income,0.521,0.875,0.45118376551051087,4
18,Income,0.520,0.775,0.09888872622352768,3
19,Income,0.526,0.866,0.43069209228698024,4
20,Income,0.527,0.863,0.31234565987932417,2
21,Income,0.555,0.867,0.45901689763896,4
22,Income,0.563,0.874,0.38590393693637337,4
23,Income,0.527,0.881,0.4075269990380274,4
24,Income,0.562,0.863,0.34058946537200696,2
25,Income,0.521,0.878,0.3948597549982798,4
26,Income,0.556,0.854,0.35459363282574835,2
27,Income,0.527,0.863,0.305997191840195,2
28,Income,0.526,0.877,0.4703622980404852,4
29,Income,0.522,0.855,0.30726696030881817,2
30,Income,0.562,0.866,0.42553886812810204,4
31,Income,0.557,0.863,0.477405448313188,4
32,Income,0.560,0.855,0.35014376861770524,2
33,Income,0.520,0.856,0.23616516323440673,2
34,Income,0.521,0.859,0.22972386858537072,2
35,Income,0.563,0.861,0.5608678205713536,4
36,Income,0.564,0.858,0.4408588256926472,4
37,Income,0.527,0.867,0.26038930250159453,2
38,Income,0.519,0.846,0.2182590454991943,2
39,Income,0.564,0.865,0.47509980580502653,4
40,Income,0.556,0.854,0.3446544858896295,2
41,Income,0.548,0.823,0.11244021923134023,3
42,Income,0.563,0.855,0.3497649598125618,2
43,Income,0.527,0.869,0.44268601826248505,4
44,Income,0.560,0.870,0.5336057961434132,4
45,Income,0.564,0.871,0.5217796630910145,4
46,Income,0.520,0.870,0.20182872564744897,10
47,Income,0.557,0.856,0.44515494152015334,4
48,Income,0.550,0.847,0.23048602038089813,2
49,Income,0.562,0.865,0.46611101860144943,4
50,Income,0.559,0.876,0.3956339966969207,4
51,Income,0.521,0.859,0.17005487863637903,10
52,Income,0.563,0.855,0.367386318000181,2
53,Income,0.520,0.877,0.457586504255251,4
54,Income,0.548,0.847,0.24114238199451307,2
55,Income,0.553,0.851,0.31982943348020904,2
56,Income,0.558,0.858,0.19912816399363345,10
57,Income,0.562,0.853,0.3192246708730609,2
58,Income,0.555,0.844,0.24041344189711022,2
59,Income,0.518,0.825,0.22095416923403463,2
60,Income,0.550,0.849,0.21044890730125126,10
61,Income,0.562,0.861,0.5770559312384782,4
62,Income,0.521,0.745,0.12420491530120001,3
63,Income,0.563,0.860,0.3828270793015449,4
64,Income,0.518,0.827,0.20675596498778456,10
65,Income,0.528,0.875,0.2742607712781724,2
66,Income,0.564,0.856,0.3489524801199294,2
67,Income,0.527,0.862,0.29073092880816376,2
68,Income,0.564,0.871,0.5062866488954072,4
69,Income,0.556,0.854,0.3436257308350135,2
70,Income,0.563,0.858,0.5773405207554468,4
71,Income,0.564,0.858,0.2967458605887464,2
72,Income,0.516,0.855,0.17154648265437863,10
73,Income,0.562,0.859,0.44120615113845285,4
74,Income,0.548,0.819,0.09887332722453433,3
75,Income,0.521,0.761,0.03380108197706293,3
76,Income,0.563,0.875,0.5248379105828406,4
77,Income,0.564,0.874,0.48642578252138247,4
78,Income,0.559,0.851,0.32158200013550103,2
79,Income,0.560,0.859,0.38201454750820457,4
80,Income,0.553,0.881,0.4070983917306815,4
81,Income,0.514,0.802,0.10941482019968855,3
82,Income,0.563,0.877,0.5032488098198158,4
83,Income,0.515,0.862,0.22794344917818893,2
84,Income,0.521,0.867,0.1981635753726065,10
85,Income,0.563,0.858,0.581388584321324,4
86,Income,0.521,0.871,0.4446423028809783,4
87,Income,0.514,0.844,0.2441710076881363,2
