ID,Age,Gender,FamilyMembers,FinancialEducation,RiskPropensity,Income,Wealth,Wealth_log,Income_log,Wealth_Age_Ratio_log,Wealth_per_person,Income_per_person,Income_Wealth_Ratio_log,Age_bracket_Young,Age_bracket_Mid,Age_bracket_Senior,AccumulationInvestment,IncomeInvestment,stratified_fold
1,60,0,2,0.2286846927260956,0.2333546444701228,68.18152509342502,53.26006651615792,3.9937885331083596,4.236733848559828,0.8058534391863348,26.63003325807896,34.09076254671251,0.8242465904207539,0,0,1,1,0,4
2,78,0,2,0.3589161782934377,0.1709114084945556,21.807595077775343,135.55004812235887,4.916691200335316,3.127093597935384,1.1700432325297299,67.77502406117944,10.903797538887671,0.14918026588680733,0,0,1,0,1,1
3,33,1,2,0.3175152499676675,0.2497030449225424,23.252747487301672,66.30367828000152,4.209214890134888,3.188529909411138,1.6378270780046797,33.15183914000076,11.626373743650836,0.3006235071385571,1,0,0,1,0,0
5,58,0,3,0.4297193675226367,0.3490390875072083,21.18672263444752,58.911929653703446,4.092875644785999,3.0994940304279384,0.8907170277736701,19.637309884567816,7.062240878149173,0.30721541760753446,0,0,1,0,0,2
6,42,1,3,0.4797674931009692,0.5144153426724262,89.90436130563879,78.62297647567769,4.377302700391105,4.509807979192413,1.421883261020748,26.207658825225895,29.968120435212928,0.7624340003671776,0,1,0,1,0,3
7,50,0,2,0.4855240941101522,0.3782836448989932,63.92914507989592,53.4007535829132,3.996378006393031,4.1732965996371,0.9624888363299513,26.7003767914566,31.96457253994796,0.787164755835234,0,1,0,1,0,2
8,59,1,2,0.3743173432155156,0.2161054703309501,131.4301798697563,100.66327925489348,4.621666168579892,4.886055562163098,1.2228175448079701,50.33163962744674,65.71508993487815,0.835359053247395,0,0,1,1,0,3
9,81,0,3,0.1950993223542031,0.1775007745349008,95.15639276810786,131.87795005829446,4.8894310381714,4.565975957272416,1.1186086781261078,43.959316686098155,31.718797589369288,0.5432244219319649,0,0,1,1,1,4
10,71,0,2,0.5773477362859316,0.4541886817445423,104.69450386767294,199.47282917723103,5.300678722238062,4.66055289405666,1.5462725879896675,99.73641458861552,52.34725193383647,0.42189995516445233,0,0,1,0,1,4
11,45,0,3,0.4726969826821422,0.5880702607529288,106.77795225312946,84.55148893099039,4.449118404406393,4.680073113003368,1.3912062861525873,28.18382964366346,35.59265075104315,0.816636079946804,0,1,0,1,0,4
13,67,1,2,0.3245489403974933,0.341892125257578,109.93016297768952,80.26904490896214,4.397765192622256,4.708900840943481,0.9575788826275379,40.13452245448107,54.96508148884476,0.8626879318767232,0,0,1,1,0,4
14,54,1,2,0.6995839363709593,0.680456109753491,74.49706507354873,367.1691712538524,5.908542537031356,4.324093782301366,2.3909156183968516,183.5845856269262,37.24853253677436,0.1847317764572329,0,1,0,1,1,3
15,61,1,3,0.4172894994680743,0.3371883942586535,81.01210774827214,159.48745403362653,5.0782157715000045,4.406866891830991,1.531414718123481,53.16248467787551,27.004035916090714,0.4107530063966648,0,0,1,1,1,0
16,53,1,2,0.4270299831006741,0.2207001733938288,45.23748483304034,48.015950742127785,3.892145770488292,3.8337908291356007,0.8474877321476555,24.007975371063893,22.61874241652017,0.6637876376406322,0,1,0,1,0,2
17,54,0,2,0.3651299297321025,0.4511837655105108,41.49683230224549,40.40027745989638,3.723287582738675,3.7494295390877577,0.738072452698215,20.20013872994819,20.748416151122743,0.7066270476340467,0,1,0,1,1,0
18,80,1,1,0.1191733341042438,0.0988887262235276,6.80256710752066,4.054744286613343,1.6203272649640938,2.054452795897443,0.06237463827686273,4.054744286613343,6.80256710752066,0.9849510899299405,0,0,1,0,0,3
19,73,1,3,0.2679989827743907,0.4306920922869802,64.08537892785886,100.53835770171308,4.620436635483713,4.175699929947398,1.0279493863492095,33.512785900571025,21.36179297595295,0.49312316244615717,0,0,1,1,1,1
20,67,1,2,0.2816471861011961,0.3123456598793241,47.94422726809528,67.1813070308358,4.222170436822809,3.890681430828939,0.8516993626699483,33.5906535154179,23.97211363404764,0.5386280959488727,0,0,1,1,0,4
21,66,1,2,0.4109615071399204,0.45901689763896,60.830527711849705,74.4618664025875,4.3236274478982955,4.124397218417602,0.92411203620876,37.23093320129375,30.415263855924852,0.5971511846533986,0,0,1,1,1,2
22,40,0,3,0.4740746113313621,0.3859039369363733,48.82697007524979,57.81153257249605,4.074337967858486,3.9085564052118045,1.2566254692705874,19.27051085749868,16.27565669174993,0.6122563533327136,0,1,0,1,0,2
23,63,1,3,0.3769644951696577,0.4075269990380274,50.99646065125056,142.16924847855287,4.964027486203978,3.9511756518659134,1.4087004192164305,47.38974949285096,16.99882021708352,0.3065301784917335,0,0,1,0,1,3
24,81,0,2,0.5950243602504144,0.3405894653720069,156.06326462352845,462.4582775297859,6.138716364837249,5.05664868356751,2.1072890001166393,231.22913876489295,78.03163231176423,0.2907756787630783,0,0,1,1,1,0
25,60,0,4,0.3777949221135011,0.3948597549982798,115.7383359139018,203.4366588853774,5.320258191002777,4.759934985038976,1.7459048828433634,50.85916472134435,28.93458397847545,0.4503848275290137,0,0,1,0,1,3
26,65,1,3,0.4296792383311633,0.3545936328257483,103.19013131212895,154.60300724402583,5.047307938318624,4.646217415737426,1.44004742405431,51.53433574800861,34.39671043737632,0.5112968870386103,0,0,1,0,0,0
27,63,1,3,0.2889962945484114,0.305997191840195,59.76875144099712,46.12414857607878,3.8527855782538447,4.107075700288628,0.6944957119269924,15.374716192026261,19.92291714699904,0.831091563004432,0,0,1,1,1,2
28,53,1,3,0.3211411952527725,0.4703622980404852,43.51950539947347,64.90711666650425,4.188246427582221,3.795927416720148,1.0306815182943365,21.635705555501417,14.506501799824491,0.5131163762909462,0,1,0,1,0,4
30,47,0,2,0.5571497757659825,0.425538868128102,50.26387425712772,30.415340384550927,3.4472963208925322,3.936986298593473,0.700045670907856,15.207670192275463,25.13193712856386,0.9755338797524069,0,1,0,1,1,2
31,65,0,1,0.439403374939476,0.477405448313188,41.20286709657215,88.41523878800646,4.493291123895137,3.742488159411168,1.0445024495808044,88.41523878800646,41.20286709657215,0.38254814079292854,0,0,1,1,0,1
32,47,0,2,0.465272487967652,0.3501437686177052,33.68946913474867,54.60500662482099,4.0182732444115405,3.54643615774403,1.0367960631613804,27.302503312410494,16.844734567374335,0.48055196850124854,0,1,0,0,0,3
33,37,1,2,0.2343311287135371,0.2361651632344067,15.552373985483063,2.5048693135222533,1.2541532340631076,2.80652953476768,0.11799942617658837,1.2524346567611266,7.776186992741532,1.9753103321615724,0,1,0,0,0,2
34,48,1,2,0.342046994747744,0.2297238685853707,40.15848121504385,34.29558687373999,3.563757938382805,3.717430010747723,0.7449372471817505,17.147793436869996,20.079240607521925,0.7751657162072121,0,1,0,1,0,3
35,29,0,3,0.564868527912279,0.5608678205713536,32.499179297039746,26.315203520063,3.3074434526734104,3.511520939935097,1.1609401263797015,8.771734506687666,10.833059765679915,0.8042395779562674,1,0,0,1,0,4
36,75,1,3,0.4763744059918047,0.4408588256926472,75.63259947343535,240.0268030028748,5.484908143086202,4.339022566805961,1.6367404148770264,80.0089343342916,25.210866491145115,0.2739131957495438,0,0,1,0,1,2
37,58,1,2,0.2492372319229716,0.2603893025015945,16.267610986935235,56.3648899206085,4.049432442319753,2.848832549464909,0.8648936058637695,28.18244496030425,8.133805493467618,0.253566047038459,0,0,1,0,0,0
